Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Old_Route_No,Excel_Row_Ref
31,5,10746,66309,देवगड,Devgad,पालये,Palye,"फणसे, पडवणे",24,17:30,18:20,SC,DAILY,,,,,शालेय,SCHOOL,125619,197
32,1,29845,66310,पालये,Palye,देवगड,Devgad,"पडवणे,फणसे",24,06:00,06:50,SC,DAILY,विश्रांती 10.50 ते 12.35,169.90000000000003,9h 00m,7h 00m,शालेय,SCHOOL,125620,199
32,2,10766,66311,देवगड,Devgad,विरवाडी,Virwadi,,10,07:00,07:20,OBL,DAILY,,,,,शालेय,,125494,200
32,3,29865,66312,विरवाडी,Virwadi,देवगड,Devgad,,12,07:30,07:55,SC,DAILY,,,,,शालेय,,125498,201
32,4,75439,66313,देवगड,Devgad,गणपती मंदिर,Ganpati Mandir,किंजवडे कामते डोबवाडी,35.2,08:15,09:30,SC-TPL,DAILY,,,,,शालेय/टपाल,,75439,202
32,5,133029,66314,गणपती मंदिर,Ganpati Mandir,देवगड,Devgad,"डोबवाडी,किंजवडे,भरडवाडी,तेलीवाडी,ओंबळ",37.1,09:40,10:50,SC-TPL,DAILY,,,,,शालेय/टपाल,,133029,203
32,6,10764,66315,देवगड,Devgad,तळेबाजार,Talebazar,"कालवी टेंबवली,तळेबाजार",25.8,12:35,13:30,SC,SAT-CLODED,,,,,शालेय,SCHOOL,125663,204
32,7,29863,66316,तळेबाजार,Talebazar,देवगड,Devgad,"तळेबाजार,टेंबवली,कालवी",25.8,13:45,14:35,SC,SAT-CLODED,,,,,शालेय,,125664,205
32,,,66317,देवगड,Devgad,वानिवडे,Wanivade,,25,12:35,13:25,,ONLY SAT,,,,,Time change for ONE DAY,,,206
32,,,66318,वानिवडे,Wanivade,देवगड,Devgad,,25,13:35,14:25,,ONLY SAT,,,,,,,,207
33,1,52016,66319,देवगड,Devgad,पाटथर,Patthar,,10,07:00,07:20,OBL,DAILY,,174.70000000000002,11h 20m,7h 05m,,,,209
33,2,52017,66320,पाटथर,Patthar,देवगड,Devgad,,10,07:30,07:50,SC,DAILY,विश्रांती 11.00 ते 15.15,,,,,,,210
33,3,60734,66321,देवगड,Devgad,मुणगे हायस्कूल,Munage Highschool,,50,08:00,09:40,OBL,SAT-SUN,,,,,,,,211
33,4,60988,66322,मुणगे हायस्कूल,Munage Highschool,देवगड,Devgad,,32.8,09:50,11:00,SC,SAT-SUN,,,,,,,,212
33,5,78246,66323,देवगड,Devgad,मुणगे हायस्कूल,Munage Highschool,,50,15:15,16:55,NON,SAT-SUN,,,,,,,,213
33,6,76537,66324,मुणगे हायस्कूल,Munage Highschool,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,,21.9,17:05,17:40,SC,SAT,,,,,,,,214
33,,29856,66325,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,,28.6,17:50,18:25,NON,ONLY FRIDAY,,,,,,,,215
34,,10756,66326,देवगड,Devgad,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,,28.6,05:15,05:50,NON,ONLY MONDAY,,,,,,,,217
34,1,29856,66327,तांबळडेग दक्षिणवाडी,Tambaldeg Dakshinwadi,देवगड,Devgad,,28.6,06:00,07:00,SC,SUN,,140.39999999999998,5h 00m,4h 55m,शालेय,,125441,218
34,2,126202,66328,देवगड,Devgad,कणकवली,Kankavali,"देवगड बंदर, नांदगाव",58.5,07:15,08:55,NON,DAIL,,,,,इतर,,126202,219
34,3,125746,66329,कणकवली,Kankavali,देवगड,Devgad,नांदगाव,53.3,09:05,10:35,NON,DAIL,6 तासांत ड्युटी संपते,,,,इतर,,125746,220
35,1,10697,66330,देवगड,Devgad,बापर्डे,Baparde,जामसंडे कावलेवडी विरवाडी,24.8,13:30,14:15,SC,DAILY,विश्रांती 15.05 ते 16.25,136.6,7h 10m,5h 50m,शालेय,,125933,221
35,2,28699,66331,बापर्डे,Baparde,देवगड,Devgad,विरवाडी  विश्रांती,21.8,14:25,15:05,OBL,DAILY,,,,,शालेय,,125934,222
35,3,10712,66332,देवगड,Devgad,केळेवाडी,Kelyewadi,केलयेवाडी विस्तारीत,27,16:25,16:35,SC,SAT-SUN,,,,,,,128568,223
35,4,29820,66333,केळेवाडी,Kelyewadi,देवगड,Devgad,केलयेवाडी विस्तारीत,27,17:35,18:25,NON,SAT-SUN,,,,,शालेय,,125791,224
35,5,60711,66334,देवगड,Devgad,मोर्वे सडेवाडी,Morve Sadewadi,"पाटथर, मिठबाव, मोर्वे",36,18:35,20:00,OBL,DAILY,,,,,बंधनकारक,,125936,225
