Duty_No,Trip_No_in_Duty,Route_No,Trip_Code,Source_Marathi,Source_English,Destination_Marathi,Destination_English,Via_Stops,Distance_KM,Departure_Time,Arrival_Time,Trip_Type,Frequency,Rest_Remark,Duty_Total_KM,Spread_Over,Steering_Duty,Remark,School_Trip,Bus_Class,Excel_Row_Ref
,1,11121,64472,सावंतवाडी,Sawantwadi,मुलांडावाडी,Mulandawadi,MADKHOL BAVLAT,18,12:15,12:35,ST,,,,,,,,ORD,197
,2,17610,64473,मुलांडावाडी,Mulandawadi,सावंतवाडी,Sawantwadi,BAVLAT MADKHOL,18,12:50,13:15,ST,,,,,,,,ORD,198
,3,11172,64082,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,RAILSTATION MALEWAD,27.2,13:30,14:30,ST,,,,,,,,ORD,200
,4,18737,64083,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,15:00,16:00,ST,,,,,,,,ORD,201
,5,11190,64084,सावंतवाडी,Sawantwadi,वेळवेवाडी,Velvewadi,malewad RAILSTATION MALEWAD SATARDA,39.3,16:15,17:45,ST,,,,,,,,ORD,202
36,1,18772,64097,सातार्डा,Satarda,सावंतवाडी,Sawantwadi,giroba mandir AROS GAOTHAN PADLOS BANDA,41,06:45,08:15,ST,,,,,,,,ORD,204
36,2,11136,64098,सावंतवाडी,Sawantwadi,हिर्लोक,Hirlok,nileli MANGAON NILELI GOTHOS NARUR,35,08:30,09:55,ST,,,,,,MAIL,,ORD,205
36,3,17799,64099,हिर्लोक,Hirlok,सावंतवाडी,Sawantwadi,nileli NARUR GOTHOS NILELI MANGAON,35,09:55,11:30,ST,,,,,,MAIL,,ORD,206
,1,11158,64092,सावंतवाडी,Sawantwadi,नेतार्डा,Netarde,BANDA GALEL,23.8,12:30,13:35,ST,,,,,,,,ORD,208
,2,18606,64093,नेतार्डा,Netarde,सावंतवाडी,Sawantwadi,GALEL BANDA,23.8,13:45,14:45,ST,,,,,,,,ORD,209
,3,11176,64094,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,wadkhol TALAWADE WADKHOL ASOLI,33,15:00,16:20,OBL,,,,,,,,ORD,210
,4,18737,64095,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,16:30,17:30,OBL,,,,,,,,ORD,211
,5,11168,64096,सावंतवाडी,Sawantwadi,सातार्डा,Satarda,nigude BANDA NIGUDE MADURA SATOSE,39.8,17:50,19:30,ST,,,,,,,,ORD,212
37,1,18535,64129,रेडी कनयाळ,Redi Kanyal,सावंतवाडी,Sawantwadi,ARONDA MALEWAD,39.3,05:50,07:15,ST,,,,,,,,ORD,214
37,2,11200,64130,सावंतवाडी,Sawantwadi,वेर्ले,Verle Temple,SANGELI   KALAMBIST,24,07:20,,NOBL,,,,,,,,ORD,215
37,3,18787,64131,वेर्ले,Verle Temple,सावंतवाडी,Sawantwadi,KALAMBIST SANGELI,24,08:25,09:25,NOBL,,,,,,,,ORD,216
37,4,11172,64132,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,RAILSTATION  MALEWAD,27.2,09:30,01:03,NOBL,,,,,,,,ORD,217
37,5,18737,64133,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,MALEWAD RAILSTATION,27.2,10:45,01:14,NOBL,,,,,,,,ORD,218
,1,11172,64426,सावंतवाडी,Sawantwadi,शिरोडा,Shiroda,,27.2,10:00,13:15,ST,,,,,,,,ORD,220
,2,18737,64427,शिरोडा,Shiroda,सावंतवाडी,Sawantwadi,PHANASKHOL,31.8,11:45,14:45,ST,,,,,,,,ORD,221
,3,11110,64126,सावंतवाडी,Sawantwadi,रेडी कनयाळ,Redi Kanyal,shiroda MALEWAD SHIRODA,34.9,15:00,16:15,ST,,,,,,,,ORD,222
,4,18534,64127,रेडी कनयाळ,Redi Kanyal,सावंतवाडी,Sawantwadi,shiroda SHIRODA MALEWAD RAILSTATION,34.9,16:30,17:45,ST,,,,,,,,ORD,223
,5,11140,64128,सावंतवाडी,Sawantwadi,रेडी कनयाळ,Redi Kanyal,MALEWAD ARONDA,39.3,18:40,20:30,ST,,,,,,,,ORD,224
